Value,Disaggregation combinations using this value,Number of indicators
11 to 18,6,1
15 and under,1,1
1.5 to 3,2,1
16 to 24,1,1
17 and under,3,1
18 to 24,3,1
19 to 64,6,1
25 to 49,4,2
4 to 10,6,1
50 to 64,4,2
65 and over,9,2
65 to 74,7,2
75 and over,7,2
